id,hip,proper,mag,ci,x,y,z
12082,12114,268 G. Cet,5.79,0.918,5.538462,4.488223,0.861013
60731,60936,3C 273,12.88,0.12,-99130.70606,-12660.058622,3581.344963
15471,15510,82 G. Eri,4.26,0.711,2.839238,3.381499,-4.127499
3759,3765,96 G. Psc,5.74,0.89,7.258368,1.555495,0.686093
13813,13847,Acamar,2.88,0.128,26.85749,26.453029,-31.974932
7574,7588,Achernar,0.45,-0.158,21.065573,9.568417,-35.951967
3814,3821,Achird,3.46,0.587,3.098462,0.674227,5.038376
78580,78820,Acrab,2.56,-0.065,-55.881427,-102.320756,-41.98604
78581,78821,Acrab B,4.9,-0.024,-55.06152,-100.825111,-41.363651
60530,60718,Acrux,0.77,-0.243,-44.363755,-5.171957,-88.034513
43939,44066,Acubens,4.26,0.141,-39.690103,40.217629,11.863811
50193,50335,Adhafera,3.43,0.307,-69.409312,33.594777,33.397009
33492,33579,Adhara,1.5,-0.211,-27.497987,105.141608,-60.171969
6397,6411,Adhil,4.87,1.077,43.117698,16.194066,46.916563
20837,20889,Ain,3.53,1.014,16.488448,39.136798,14.772771
92471,92761,Ainalrami,4.86,1.412,74.467326,-309.170538,-133.319898
53369,53524,Aiolos,7.36,0.23,-31.65874,8.921182,-84.220969
94186,94481,Aladfar,4.43,-0.15,104.385585,-313.073293,268.637487
89726,90004,Alasia,7.95,0.713,3.976682,-41.623556,-8.82869
93846,94141,Albaldah,2.88,0.377,43.714239,-139.143552,-56.055078
102287,102618,Albali,3.78,0.0,41.969653,-46.744809,-10.507937
95648,95947,Albireo,3.05,1.088,45.350466,-108.51838,62.430012
95652,95951,Albireo B,5.12,-0.095,41.751189,-99.862557,57.467608
59020,59199,Alchiba,4.02,0.334,-13.557668,-0.497944,-6.248321
65272,65477,Alcor,3.99,0.169,-13.393436,-5.223608,20.521915
17661,17702,Alcyone,2.85,-0.086,61.664507,94.489136,50.483636
21368,21421,Aldebaran,0.87,1.538,7.02722,18.287604,5.806661
104861,105199,Alderamin,2.45,0.257,5.276111,-4.483201,13.348778
107742,108085,Aldhanab,3.0,-0.084,43.853581,-26.892269,-39.28078
83638,83895,Aldhibah,3.17,-0.12,-9.178442,-40.388128,91.793254
101095,101421,Aldulfin,4.03,-0.123,61.580495,-77.965441,19.858319
113366,113726,Alfarasalkamil,3.62,-0.099,150.676276,-39.022904,141.757338
105691,106032,Alfirk,3.23,-0.201,55.219515,-42.886719,198.108029
99743,100064,Algedi,3.58,0.883,17.945333,-26.097385,-7.047505
1065,1067,Algenib,2.83,-0.19,115.664183,6.687324,31.442127
50440,50583,Algieba,2.01,1.128,-34.002797,15.860719,13.53874
14540,14576,Algol,2.09,-0.003,14.189428,15.238793,18.072114
60776,60965,Algorab,2.94,-0.012,-25.316094,-3.317674,-7.57057
31601,31681,Alhena,1.93,0.001,-5.266162,31.714389,9.461403
62757,62956,Alioth,1.76,-0.022,-13.775959,-3.309169,20.972944
102157,102488,Aljanah,2.48,1.021,12.262597,-13.834612,12.455654
67088,67301,Alkaid,1.85,-0.099,-18.529548,-9.394541,24.164506
75182,75411,Alkalurops,4.31,0.309,-17.300377,-21.457918,21.056469
75187,75415,Alkalurops B,6.51,0.6,-17.991461,-22.319858,21.876782
44343,44471,Alkaphrah,3.57,0.007,-53.667801,51.996165,80.572997
115258,115623,Alkarab,4.42,0.617,47.401961,-7.215479,20.75302
53584,53740,Alkes,4.08,1.079,-44.746057,12.036889,-15.32333
23361,23416,Almaaz,3.03,0.537,118.129799,456.518488,452.57303
9618,9640,Almach,2.1,1.37,76.368059,45.840864,81.131974
108922,109268,Alnair,1.73,-0.07,18.672505,-9.904001,-22.635193
88361,88635,Alnasl,2.98,0.981,0.648969,-25.602281,-15.040072
26246,26311,Alnilam,1.69,-0.184,62.775122,602.66691,-12.712683
26662,26727,Alnitak,1.74,-0.199,18.918488,224.809409,-7.651875
79870,80112,Alniyat,2.9,0.299,-80.536239,-175.075401,-92.301792
46259,46390,Alphard,1.99,1.44,-43.003468,33.722848,-8.322089
76035,76267,Alphecca,2.22,0.032,-12.176093,-16.558746,10.343974
676,677,Alpheratz,2.07,-0.038,25.974572,0.951042,14.461264
7083,7097,Alpherg,3.62,0.974,95.233975,40.171366,28.364911
9467,9487,Alrescha,3.82,0.024,39.728779,23.413015,2.226137
86515,86782,Alruba,5.75,0.017,-6.737285,-96.264768,131.85914
95799,96100,Alsafi,4.67,0.786,0.784452,-1.840016,5.396152
40959,41075,Alsciaukat,4.25,1.55,-49.889521,69.406143,80.234157
42794,42913,Alsephina,1.93,0.043,-9.394033,10.739813,-20.158771
97725,98036,Alshain,3.71,0.855,6.563854,-11.925647,1.528534
99985,100310,Alshat,4.77,-0.047,43.612148,-61.902343,-17.146901
97338,97649,Altair,0.76,0.221,2.355468,-4.4873,0.790749
94081,94376,Altais,3.07,0.99,3.534238,-10.788301,27.627312
46617,46750,Alterf,4.32,1.541,-74.131964,56.004334,39.376137
35806,35904,Aludra,2.45,-0.083,-190.762166,496.337122,-298.432917
55055,55219,Alula Borealis,3.49,1.4,-100.864256,18.476143,66.832099
92654,92946,Alya,4.62,0.161,11.483943,-45.872196,3.475585
92659,92951,Alya B,4.98,0.204,12.587009,-50.255684,3.806479
32276,32362,Alzirr,3.35,0.443,-3.444569,17.203451,4.0169
29477,29550,Amadioha,8.98,0.817,-2.893727,48.727238,-28.065674
47645,47780,Añañuca,10.22,1.53,-5.716082,3.837529,-7.073973
109657,110003,Ancha,4.17,0.979,51.269356,-24.775209,-7.783126
13254,13288,Angetenar,4.76,0.906,39.279245,36.32166,-20.540573
57647,57820,Aniara,7.86,0.971,-67.531225,2.542591,106.655113
2076,2081,Ankaa,2.4,1.083,19.083654,2.198282,-17.483284
95473,95771,Anser,4.44,1.502,31.268751,-76.712143,38.040745
80519,80763,Antares,1.06,1.865,-58.542602,-140.307591,-75.574766
99156,99473,Antinous,3.24,-0.066,47.588681,-73.769106,-1.258706
72619,72845,Arcalís,7.8,1.039,-75.984659,-71.719466,34.424841
69451,69673,Arcturus,-0.05,1.239,-8.823448,-5.932531,3.698938
94999,95294,Arkab Posterior,4.27,0.35,10.367344,-27.285432,-28.985346
94946,95241,Arkab Prior,3.96,-0.085,24.213622,-64.216561,-67.345884
25920,25985,Arneb,2.58,0.211,76.877195,643.047236,-208.208
93213,93506,Ascella,2.6,0.062,6.326274,-22.577554,-13.471863
42792,42911,Asellus Australis,3.94,1.083,-25.041776,28.63397,12.473108
42687,42806,Asellus Borealis,4.66,0.01,-33.797361,39.125009,20.33287
42990,43109,Ashlesha,3.38,0.685,-26.198413,29.410867,4.431082
45425,45556,Aspidiske,2.21,0.189,-90.887872,78.251756,-201.791538
17537,17579,Asterope,5.76,-0.036,57.278032,86.462186,47.384166
80089,80331,Athebyne,2.73,0.91,-5.477258,-12.300885,24.814526
17406,17448,Atik,3.84,0.022,162.113525,241.065988,183.56674
17805,17847,Atlas,3.62,-0.07,57.849417,90.077197,47.782936
82022,82273,Atria,1.91,1.447,-13.127447,-40.804561,-111.826781
40921,41037,Avior,1.86,1.196,-54.83708,76.515238,-159.872623
117951,118319,Axólotl,8.23,0.639,90.980204,-0.040804,-37.551574
13959,13993,Ayeyarwady,7.81,0.936,89.377224,89.515869,-48.058112
106795,107136,Azelfafage,4.69,-0.119,273.366682,-187.713963,412.287993
13667,13701,Azha,3.89,1.088,29.694338,28.782724,-6.474577
38062,38170,Azmidi,3.34,1.218,-153.118527,296.362603,-154.558514
111893,112247,Babcock's star,8.83,0.031,53443.383418,-18369.410721,82500.724352
72910,73136,Baekdu,6.83,0.985,-29.878814,-29.05737,154.476295
86839,87108,Bake-eo,3.75,0.043,-1.662293,-31.436744,1.488597
87665,87937,Barnard's Star,9.54,1.57,-0.017373,-1.816613,0.149123
8628,8645,Baten Kaitos,3.74,1.136,62.65906,33.12747,-12.925362
20483,20535,Beemim,3.97,1.468,30.609599,68.780131,-50.811792
19538,19587,Beid,4.04,0.327,16.838836,33.000244,-4.442368
94829,95124,Belel,7.55,1.022,35.109071,-95.077194,-44.321033
6629,6643,Bélénos,7.12,0.577,36.464195,14.218374,21.309341
25273,25336,Bellatrix,1.64,-0.224,11.658576,76.036136,8.56012
27919,27989,Betelgeuse,0.45,1.5,3.189296,151.364387,19.682142
13176,13209,Bharani,3.61,-0.1,33.287607,30.498162,23.26243
48571,48711,Bibhā,8.73,0.664,-81.553447,48.954496,-6.331799
109081,109427,Biham,3.52,0.086,24.963846,-12.967714,3.054948
87994,88267,Bodu,4.26,0.406,0.78172,-118.897851,47.065883
106908,107251,Bosona,8.34,1.009,159.050184,-107.872405,-24.988061
14802,14838,Botein,4.35,1.033,32.830084,36.343153,17.561644
73486,73714,Brachium,3.25,1.674,-55.51919,-57.527085,-37.760649
26315,26380,Bubup,6.69,0.584,1.075847,10.699992,-36.774049
12159,12191,Buna,7.28,0.656,33.267021,27.188006,38.769845
106444,106786,Bunda,4.68,0.175,44.13209,-31.551274,-7.483694
95992,96295,Campbell's Hydrogen Star,10.0,-0.013,34611.284098,-78889.844899,50778.453408
30365,30438,Canopus,-0.62,0.164,-5.992679,57.132034,-75.396105
24549,24608,Capella,0.08,0.795,1.712633,8.954439,9.440007
744,746,Caph,2.28,0.38,8.600014,0.344589,14.409503
36744,36850,Castor,1.58,0.034,-5.311938,12.130011,8.238737
4412,4422,Castula,4.62,0.957,30.437701,7.68286,52.6216
86475,86742,Cebalrai,2.76,1.168,-1.802333,-24.949291,1.998237
37178,37284,Ceibo,9.37,1.006,-2.947922,6.367903,-33.822035
17447,17489,Celaeno,5.45,-0.034,58.617318,87.564472,47.554545
86529,86796,Cervantes,5.12,0.694,-0.662558,-9.561971,-12.19514
53565,53721,Chalawan,5.03,0.624,-10.333319,2.794615,9.120037
20842,20894,Chamukuy,3.4,0.179,17.209733,40.871602,12.608233
61124,61317,Chara,4.24,0.588,-6.266213,-0.929293,5.576481
99574,99894,Chechia,6.44,0.867,36.598915,-54.209052,5.240473
54718,54879,Chertan,3.33,-0.003,-47.814213,9.675761,13.464276
4417,4427,Cih,2.15,-0.046,79.836717,20.168018,146.837047
1544,1547,Citadelle,8.36,0.92,153.922235,12.982322,38.670219
33632,33719,Citalá,6.29,0.572,-7.499264,27.84151,-2.708925
3472,3479,Cocibolca,7.78,0.664,28.425119,5.582477,-14.452867
43464,43587,Copernicus,5.96,0.869,-7.429298,7.925466,5.85673
62925,63125,Cor Caroli,2.89,-0.115,-26.795114,-6.684223,21.824384
62921,63121,Cor Caroli B,5.61,0.337,-28.092342,-7.005189,22.877614
80221,80463,Cujam,4.57,0.002,-29.840058,-68.151905,18.595479
23820,23875,Cursa,2.78,0.161,6.156194,26.585876,-2.429001
97987,98298,Cygnus X-1,8.84,0.73,240.17499,-422.950898,343.12808
100020,100345,Dabih,3.05,0.79,55.920163,-79.116953,-25.564218
14843,14879,Dalim,3.8,0.543,8.329775,9.25728,-6.899408
114848,115211,Danfeng,11.03,1.45,12.960983,-2.278056,-22.853202
10620,10644,Deltoton,4.84,0.607,7.36921,5.020051,6.065246
101767,102098,Deneb,1.25,0.092,197.250632,-232.113407,307.600832
107213,107556,Deneb Algedi,2.85,0.18,9.534405,-6.248606,-3.296196
57459,57632,Denebola,2.14,0.09,-10.633926,0.508011,2.767546
64037,64241,Diadem,4.32,0.455,-16.211012,-5.110375,5.368871
54001,54158,Dingolay,8.21,0.856,-153.260473,37.686294,-6.927309
3413,3419,Diphda,2.04,1.019,27.583638,5.310463,-9.119792
65839,66047,Dofida,7.17,0.603,-23.693773,-10.109418,-27.888234
78165,78401,Dschubba,2.29,-0.117,-69.332609,-120.492107,-57.928452
53905,54061,Dubhe,1.81,1.061,-17.298705,4.33488,33.191332
86347,86614,Dziban,4.57,0.434,-0.551088,-6.978598,21.736754
86353,86620,Dziban B,5.81,0.53,-0.555414,-7.044781,21.953273
113961,114322,Ebla,8.59,1.012,27.833867,-6.27534,-1.126403
75229,75458,Edasich,3.29,1.166,-10.015969,-12.471787,26.585776
17457,17499,Electra,3.72,-0.105,62.965631,94.124106,50.687766
70532,70755,Elgafar,4.81,0.693,-28.915866,-21.829712,-1.409548
28962,29034,Elkurud,5.0,-0.095,-5.782732,176.005131,-133.923795
25364,25428,Elnath,1.65,-0.13,5.281578,35.6504,19.655456
87561,87833,Eltanin,2.24,1.521,-0.436154,-29.451035,37.014357
5517,5529,Emiw,8.06,0.849,13.576752,4.332049,-32.293578
106972,107315,Enif,2.38,1.52,172.769915,-116.330918,36.25782
116361,116727,Errai,3.21,1.031,3.008186,-0.271815,13.774751
90065,90344,Fafnir,4.82,1.179,4.51784,-39.674686,87.878659
78029,78265,Fang,2.89,-0.18,-81.301517,-139.203202,-79.023364
96858,97165,Fawaris,2.86,-0.002,15.779435,-32.006459,35.8481
48478,48615,Felis,4.94,1.559,-152.168245,92.455966,-61.341498
2241,2247,Felixvarela,9.62,1.128,34.013301,4.262471,-9.976163
57197,57370,Flegetonte,8.07,0.835,-29.544905,1.845236,1.458929
113008,113368,Fomalhaut,1.17,0.145,6.450517,-1.799476,-3.807757
56339,56508,Formosa,6.45,1.01,-113.87372,12.439743,42.695774
2914,2920,Fulu,3.69,-0.196,105.743565,17.207892,146.901502
113529,113889,Fumalsamakah,4.48,-0.115,121.152668,-30.275882,8.338293
60986,61177,Funi,8.75,0.645,-17.489575,-2.467324,63.644764
30049,30122,Furud,3.02,-0.16,-8.512138,95.786306,-55.662081
86991,87261,Fuyue,3.19,1.192,-1.362278,-30.763993,-23.24156
60893,61084,Gacrux,1.59,1.6,-14.606901,-1.998688,-22.800748
42327,42446,Gakyid,8.23,0.962,-50.568104,60.659599,18.174814
62257,62452,Gar,11.39,1.563,-8.06968,-1.713193,1.417736
106916,107259,Garnet Star,4.23,2.242,42908.717258,-29076.600569,85518.379993
56044,56211,Giausar,3.82,1.613,-35.773586,4.486959,95.570558
59621,59803,Gienah,2.58,-0.107,-44.805937,-3.095058,-14.197066
60075,60260,Ginan,3.59,1.389,-34.656852,-3.239447,-61.275879
36087,36188,Gomeisa,2.89,-0.097,-18.209817,45.556204,7.147858
57767,57939,Groombridge 1830,6.42,0.754,-7.187679,0.220247,5.561623
1472,1475,Groombridge 34,8.09,1.56,2.571275,0.20667,2.493057
87314,87585,Grumium,3.73,1.177,-0.532395,-18.850278,28.897629
77214,77450,Gudja,4.09,1.616,-60.303137,-93.518027,36.45959
94350,94645,Gumala,6.25,0.548,8.135614,-23.777829,-11.28349
84147,84405,Guniibuu,4.33,0.855,-1.027046,-5.204798,-2.656955
68483,68702,Hadar,0.61,-0.231,-50.954051,-30.56287,-104.478695
23712,23767,Haedus,3.18,-0.148,12.978524,54.599524,49.18977
9861,9884,Hamal,2.01,1.151,15.731986,9.751722,8.03361
22961,23015,Hassaleh,2.69,1.49,34.378539,121.884168,82.763748
26176,26241,Hatysa,2.75,-0.21,76.014147,706.411475,-73.54604
112997,113357,Helvetios,5.45,0.666,14.053522,-3.93265,5.534429
67251,67464,Heng,3.41,-0.225,-88.774682,-45.96956,-89.0322
66040,66249,Heze,3.38,0.114,-20.799365,-9.118725,-0.236175
29198,29271,Hoerikwaggo,5.08,0.714,-0.119802,2.679222,-9.839152
21057,21109,Hoggar,8.38,1.008,85.200384,209.362436,18.088209
111676,112029,Homam,3.41,-0.086,57.962157,-20.678728,11.774377
114208,114570,Honores,4.53,0.302,15.657659,-3.288881,18.670848
55011,55174,Hunahpú,8.05,0.962,-120.572962,22.459787,-54.542905
79834,80076,Hunor,8.72,0.463,-36.260076,-78.299814,75.136419
77868,78104,Iklil,3.87,-0.199,-64.636099,-108.519131,-70.633018
46954,47087,Illyrian,7.62,0.864,-83.307172,60.663459,71.573083
59565,59747,Imai,2.79,-0.193,-54.778605,-3.62525,-90.466
84529,84787,Inquill,6.67,0.614,-6.321012,-35.717587,-41.069892
15539,15578,Intan,9.92,1.037,24.611899,29.516952,-25.659946
46339,46471,Intercrus,5.4,0.993,-47.431774,36.836132,61.329924
108030,108375,Itonda,7.47,0.568,31.177482,-18.487777,-28.079086
71879,72105,Izar,2.35,0.966,-41.582771,-36.462926,28.269741
79134,79374,Jabbah,4.0,0.076,-62.219516,-122.106847,-48.424462
37159,37265,Jishui,4.89,0.413,-17.604251,38.11415,28.945417
12673,12706,Kaffaljidhma,3.47,0.093,18.440324,15.931398,1.377729
116439,116805,Kaffalmusalsala,4.15,-0.071,36.792238,-3.152838,36.078346
47069,47202,Kalausi,8.23,0.811,-24.34255,17.492359,-28.220225
78979,79219,Kamuy,6.57,1.037,-51.645678,-99.279411,56.389141
69205,69427,Kang,4.18,1.323,-64.306477,-42.119366,-13.933635
24129,24186,Kapteyn's Star,8.86,1.543,0.578997,2.705174,-2.76822
76118,76351,Karaka,8.71,0.891,-3.930997,-5.39398,-38.659171
89906,90185,Kaus Australis,1.79,-0.031,3.817188,-36.057831,-24.812975
90217,90496,Kaus Borealis,2.82,1.025,2.635486,-21.487046,-10.289309
89653,89931,Kaus Media,2.72,1.38,8.460232,-92.098382,-53.027575
92604,92895,Kaveh,8.02,0.869,30.48371,-122.991629,9.450485
19799,19849,Keid,4.43,0.82,2.179524,4.432894,-0.66374
69751,69974,Khambalia,4.52,0.128,-45.689342,-31.728277,-13.222219
104649,104987,Kitalpha,3.92,0.549,43.818116,-38.149671,5.336289
72380,72607,Kochab,2.07,1.465,-8.058164,-7.429707,38.619407
12928,12961,Koeia,10.25,1.389,15.812912,14.078244,-9.024692
80571,80816,Kornephoros,2.78,0.947,-15.155861,-36.689058,15.62843
61166,61359,Kraz,2.65,0.893,-40.529889,-6.127261,-17.73539
110547,110893,Kruger 60,9.59,1.613,1.968033,-0.83547,3.381486
4453,4463,Kui,4.4,0.94,62.61915,15.963361,27.988017
64904,65109,Kulou,2.75,0.068,-13.562569,-4.976416,-10.773082
108573,108917,Kurhah,4.26,0.379,11.085515,-6.15803,26.739992
62030,62223,La Superba,5.42,2.994,-220.542536,-43.99915,228.371602
104751,105090,Lacaille 8760,6.69,1.397,2.330004,-2.003156,-2.476477
113687,114046,Lacaille 9352,7.35,1.483,2.581532,-0.621353,-1.918773
53879,54035,Lalande 21185,7.49,1.502,-1.998,0.504305,1.495504
109784,110130,Lang-Exster,2.87,1.39,27.447381,-13.018072,-53.171301
82144,82396,Larawag,2.29,1.144,-4.842163,-15.39568,-11.006616
67786,68002,Leepwal,2.55,-0.176,-69.545858,-38.36753,-86.039492
85436,85696,Lesath,2.7,-0.179,-17.880984,-139.40881,-107.054828
97627,97938,Libertas,4.71,1.023,26.612383,-48.887669,8.280414
65983,66192,Liesma,8.05,0.699,-48.051398,-20.903886,71.410393
13028,13061,Lilii Borea,4.52,1.112,34.120953,30.698125,25.701009
110467,110813,Lionrock,7.6,0.882,115.004344,-49.379339,-38.895048
30788,30860,Lucilinburhuc,7.89,0.74,-4.756834,37.704707,30.734041
30832,30905,Lusitânia,8.1,0.846,-4.288647,33.455125,6.515853
36107,36208,Luyten's Star,9.84,1.573,-1.409549,3.514856,0.346358
85433,85693,Maasym,4.41,1.434,-12.948576,-100.86468,49.842035
52370,52521,Macondo,8.3,0.945,-21.954758,7.522298,-15.405733
23949,24003,Mago,6.43,1.101,9.153224,40.959237,113.090617
28309,28380,Mahasim,2.65,-0.083,0.049188,40.426416,30.69934
82399,82651,Mahsati,8.38,0.9,-51.7543,-173.956642,38.490448
17532,17573,Maia,3.87,-0.063,59.14718,89.215057,48.48319
80637,80883,Marfik,3.82,0.022,-20.104527,-49.089266,1.837527
113603,113963,Markab,2.49,-0.002,38.311434,-9.417123,10.722722
45809,45941,Markeb,2.47,-0.141,-77.65777,63.951481,-143.729782
78804,79043,Marsic,5.0,0.931,-50.571259,-95.186266,33.050231
78805,79045,Marsic B,6.25,1.14,-289.369888,-544.699215,189.212514
111804,112158,Matar,2.93,0.852,53.59916,-18.717064,33.070991
65221,65426,Matza,7.01,0.093,-56.858287,-21.997276,-76.655891
32161,32246,Mebsuta,3.06,1.377,-44.684834,230.247724,110.023705
59592,59774,Megrez,3.32,0.077,-13.402309,-0.903455,20.710384
26142,26207,Meissa,3.39,-0.16,35.907504,329.702779,58.086365
34000,34088,Mekbuda,4.01,0.899,-109.067807,379.683873,148.25163
42437,42556,Meleph,6.29,0.17,-109.202884,129.624965,60.169858
28288,28360,Menkalinan,1.9,0.077,0.036195,17.601288,17.569058
14100,14135,Menkar,2.54,1.63,53.342561,54.414384,5.448321
68714,68933,Menkent,2.06,1.011,-12.358808,-7.624204,-10.694288
18567,18614,Menkib,3.98,0.016,156.01015,267.421217,223.218208
53754,53910,Merak,2.34,0.033,-13.103033,3.398358,20.360601
72261,72487,Merga,5.76,0.482,-25.109461,-22.870123,35.313409
93819,94114,Meridiana,4.11,0.042,9.052029,-28.941534,-23.610478
17566,17608,Merope,4.14,-0.051,58.663928,88.906234,47.309232
8813,8832,Mesarthim,3.88,-0.047,41.769649,22.568336,16.620371
